state,fiscal_year_month,households,persons
Alabama,1988-10-01,153002.0,427623.0
Alabama,1988-11-01,153226.0,426172.0
Alabama,1988-12-01,157222.0,438644.0
Alabama,1989-01-01,157389.0,439131.0
Alabama,1989-02-01,155863.0,432792.0
Alabama,1989-03-01,160501.0,446855.0
Alabama,1989-04-01,159180.0,443095.0
Alabama,1989-05-01,156525.0,432744.0
Alabama,1989-06-01,158047.0,438400.0
Alabama,1989-07-01,157251.0,435296.0
Alabama,1989-08-01,155922.0,428280.0
Alabama,1989-09-01,158278.0,437504.0
Alabama,1989-10-01,159308.0,438187.0
Alabama,1989-11-01,161097.0,441402.0
Alabama,1989-12-01,165469.0,454454.0
Alabama,1990-01-01,166887.0,457650.0
Alabama,1990-02-01,166204.0,454676.0
Alabama,1990-03-01,169354.0,464693.0
Alabama,1990-04-01,167666.0,460204.0
Alabama,1990-05-01,164917.0,449357.0
Alabama,1990-06-01,167255.0,458915.0
Alabama,1990-07-01,166549.0,454917.0
Alabama,1990-08-01,165448.0,448667.0
Alabama,1990-09-01,168456.0,459361.0
Alabama,1990-10-01,170252.0,461527.0
Alabama,1990-11-01,176525.0,479941.0
Alabama,1990-12-01,179916.0,494573.0
Alabama,1991-01-01,181986.0,493371.0
Alabama,1991-02-01,186945.0,508392.0
Alabama,1991-03-01,190048.0,515793.0
Alabama,1991-04-01,191431.0,519142.0
Alabama,1991-05-01,189412.0,510794.0
Alabama,1991-06-01,191498.0,517700.0
Alabama,1991-07-01,189375.0,508091.0
Alabama,1991-08-01,193642.0,520624.0
Alabama,1991-09-01,194326.0,521543.0
Alabama,1991-10-01,196262.0,522225.0
Alabama,1991-11-01,202306.0,539334.0
Alabama,1991-12-01,205065.0,545116.0
Alabama,1992-01-01,207108.0,547898.0
Alabama,1992-02-01,210216.0,558107.0
Alabama,1992-03-01,210218.0,555395.0
Alabama,1992-04-01,212300.0,562540.0
Alabama,1992-05-01,211054.0,558273.0
Alabama,1992-06-01,211071.0,556701.0
Alabama,1992-07-01,208910.0,548758.0
Alabama,1992-08-01,210912.0,555232.0
Alabama,1992-09-01,209058.0,546866.0
Alabama,1992-10-01,213632.0,560172.0
Alabama,1992-11-01,215005.0,561552.0
Alabama,1992-12-01,214573.0,557312.0
Alabama,1993-01-01,217861.0,567686.0
Alabama,1993-02-01,215243.0,558541.0
Alabama,1993-03-01,217976.0,564973.0
Alabama,1993-04-01,218246.0,566598.0
Alabama,1993-05-01,216879.0,562538.0
Alabama,1993-06-01,214030.0,552066.0
Alabama,1993-07-01,216679.0,560968.0
Alabama,1993-08-01,216725.0,559829.0
Alabama,1993-09-01,213356.0,548331.0
Alabama,1993-10-01,217775.0,560823.0
Alabama,1993-11-01,218539.0,560857.0
Alabama,1993-12-01,217779.0,556819.0
Alabama,1994-01-01,219460.0,562557.0
Alabama,1994-02-01,214552.0,546823.0
Alabama,1994-03-01,219511.0,561803.0
Alabama,1994-04-01,216743.0,554907.0
Alabama,1994-05-01,213963.0,546254.0
Alabama,1994-06-01,211492.0,538727.0
Alabama,1994-07-01,212321.0,542224.0
Alabama,1994-08-01,212718.0,540776.0
Alabama,1994-09-01,195827.0,500203.0
Alabama,1994-10-01,212806.0,539670.0
Alabama,1994-11-01,210645.0,530542.0
Alabama,1994-12-01,213170.0,537786.0
Alabama,1995-01-01,227221.0,569229.0
Alabama,1995-02-01,208009.0,520563.0
Alabama,1995-03-01,211142.0,530547.0
Alabama,1995-04-01,207923.0,522652.0
Alabama,1995-05-01,203019.0,507926.0
Alabama,1995-06-01,204688.0,513841.0
Alabama,1995-07-01,202629.0,508303.0
Alabama,1995-08-01,201570.0,502427.0
Alabama,1995-09-01,204173.0,510780.0
Alabama,1995-10-01,204221.0,510192.0
Alabama,1995-11-01,203860.0,508351.0
Alabama,1995-12-01,205223.0,512579.0
Alabama,1996-01-01,208410.0,521122.0
Alabama,1996-02-01,207675.0,519071.0
Alabama,1996-03-01,206537.0,515344.0
Alabama,1996-04-01,203621.0,507160.0
Alabama,1996-05-01,203526.0,506992.0
Alabama,1996-06-01,201349.0,500927.0
Alabama,1996-07-01,201500.0,501548.0
Alabama,1996-08-01,202807.0,505115.0
Alabama,1996-09-01,201629.0,502171.0
Alabama,1996-10-01,201523.0,501578.0
Alabama,1996-11-01,198803.0,495776.0
Alabama,1996-12-01,196953.0,492478.0
Alabama,1997-01-01,194956.0,487669.0
Alabama,1997-02-01,192274.0,481653.0
Alabama,1997-03-01,186093.0,470249.0
Alabama,1997-04-01,181159.0,459533.0
Alabama,1997-05-01,178508.0,453808.0
Alabama,1997-06-01,176585.0,450209.0
Alabama,1997-07-01,175889.0,448416.0
Alabama,1997-08-01,174662.0,445524.0
Alabama,1997-09-01,173946.0,444318.0
Alabama,1997-10-01,173542.0,443235.0
Alabama,1997-11-01,172163.0,440384.0
Alabama,1997-12-01,172105.0,441102.0
Alabama,1998-01-01,168874.0,433065.0
Alabama,1998-02-01,167844.0,430183.0
Alabama,1998-03-01,167195.0,428050.0
Alabama,1998-04-01,165815.0,424288.0
Alabama,1998-05-01,164135.0,419588.0
Alabama,1998-06-01,163261.0,417454.0
Alabama,1998-07-01,162516.0,415612.0
Alabama,1998-08-01,162541.0,415575.0
Alabama,1998-09-01,161867.0,413293.0
Alabama,1998-10-01,162360.0,413998.0
Alabama,1998-11-01,162353.0,414070.0
Alabama,1998-12-01,162904.0,415270.0
Alabama,1999-01-01,160629.0,408824.0
Alabama,1999-02-01,159833.0,406536.0
Alabama,1999-03-01,159905.0,406478.0
