fiscal_year_month,persons
1988-10-01,18446735.0
1988-11-01,18434600.0
1988-12-01,18709788.0
1989-01-01,18814591.0
1989-02-01,18805348.0
1989-03-01,19188889.0
1989-04-01,19036458.0
1989-05-01,18858178.0
1989-06-01,18856665.0
1989-07-01,18696508.0
1989-08-01,18784944.0
1989-09-01,19044857.0
1989-10-01,19523488.0
1989-11-01,19256464.0
1989-12-01,19461401.0
1990-01-01,19848748.0
1990-02-01,19958037.0
1990-03-01,20414960.0
1990-04-01,20370671.0
1990-05-01,20290045.0
1990-06-01,20382828.0
1990-07-01,20320763.0
1990-08-01,20301533.0
1990-09-01,20458793.0
1990-10-01,20928991.0
1990-11-01,21294125.0
1990-12-01,21686672.0
1991-01-01,21980958.0
1991-02-01,22496484.0
1991-03-01,22945164.0
1991-04-01,23207931.0
1991-05-01,23148421.0
1991-06-01,23247989.0
1991-07-01,23215673.0
1991-08-01,23663074.0
1991-09-01,23680042.0
1991-10-01,24055568.0
1991-11-01,24437847.0
1991-12-01,24854461.0
1992-01-01,25102189.0
1992-02-01,25385468.0
1992-03-01,25722405.0
1992-04-01,25875570.0
1992-05-01,25694638.0
1992-06-01,25748466.0
1992-07-01,25698933.0
1992-08-01,25862454.0
1992-09-01,26445826.0
1992-10-01,26223472.0
1992-11-01,26393793.0
1992-12-01,26627009.0
1993-01-01,26857336.0
1993-02-01,26918029.0
1993-03-01,27386320.0
1993-04-01,27366950.0
1993-05-01,27272406.0
1993-06-01,27195390.0
1993-07-01,27288566.0
1993-08-01,27215012.0
1993-09-01,27097011.0
1993-10-01,27207775.0
1993-11-01,27343082.0
1993-12-01,27446313.0
1994-01-01,27687318.0
1994-02-01,27843411.0
1994-03-01,27969969.0
1994-04-01,27718861.0
1994-05-01,27520328.0
1994-06-01,27384252.0
1994-07-01,27313426.0
1994-08-01,27216765.0
1994-09-01,27032856.0
1994-10-01,27064638.0
1994-11-01,26891997.0
1994-12-01,27112215.0
1995-01-01,27066207.0
1995-02-01,26766762.0
1995-03-01,27101343.0
1995-04-01,26707357.0
1995-05-01,26458491.0
1995-06-01,26325055.0
1995-07-01,26042197.0
1995-08-01,25995326.0
1995-09-01,25893686.0
1995-10-01,26015906.0
1995-11-01,25857801.0
1995-12-01,25880962.0
1996-01-01,25899749.0
1996-02-01,25818291.0
1996-03-01,25885340.0
1996-04-01,25643720.0
1996-05-01,25556902.0
1996-06-01,25183399.0
1996-07-01,24968781.0
1996-08-01,24932297.0
1996-09-01,24867226.0
1996-10-01,24400846.0
1996-11-01,24139445.0
1996-12-01,23920683.0
1997-01-01,23694285.0
1997-02-01,23475445.0
1997-03-01,23173789.0
1997-04-01,22723781.0
1997-05-01,22411827.0
1997-06-01,22140575.0
1997-07-01,21680584.0
1997-08-01,21544651.0
1997-09-01,20991727.0
1997-10-01,20799556.0
1997-11-01,20607139.0
1997-12-01,20517163.0
1998-01-01,20370391.0
1998-02-01,20047459.0
1998-03-01,20037929.0
1998-04-01,19708896.0
1998-05-01,19495898.0
1998-06-01,19289319.0
1998-07-01,19029374.0
1998-08-01,18910497.0
1998-09-01,18678193.0
1998-10-01,18781505.0
1998-11-01,18647789.0
1998-12-01,18617087.0
1999-01-01,18483171.0
1999-02-01,18278318.0
1999-03-01,18354465.0
1999-04-01,18100816.0
1999-05-01,17947632.0
1999-06-01,17835831.0
1999-07-01,17723939.0
1999-08-01,17694898.0
1999-09-01,17725004.0
1999-10-01,17530703.0
1999-11-01,17538216.0
1999-12-01,17445538.0
2000-01-01,17323336.0
2000-02-01,17191024.0
2000-03-01,17285182.0
2000-04-01,17040733.0
2000-05-01,17018465.0
2000-06-01,17045814.0
2000-07-01,16895039.0
2000-08-01,17004637.0
2000-09-01,17013325.0
2000-10-01,17061834.0
2000-11-01,17092424.0
2000-12-01,17175724.0
2001-01-01,17298136.0
2001-02-01,16954558.0
2001-03-01,17249899.0
2001-04-01,17139964.0
2001-05-01,17243514.0
2001-06-01,17457195.0
2001-07-01,17531585.0
2001-08-01,17758492.0
2001-09-01,17858172.0
2001-10-01,18176710.0
2001-11-01,18499920.0
2001-12-01,18745920.0
2002-01-01,18918120.0
2002-02-01,19018508.0
2002-03-01,19216647.0
2002-04-01,19166625.0
2002-05-01,19330632.0
2002-06-01,19311119.0
2002-07-01,19291561.0
2002-08-01,19686984.0
2002-09-01,19784894.0
2002-10-01,20124679.0
2002-11-01,20329250.0
2002-12-01,20551678.0
2003-01-01,20704912.0
2003-02-01,20740976.0
2003-03-01,21009256.0
2003-04-01,21249129.0
2003-05-01,21529923.0
2003-06-01,21760617.0
2003-07-01,22005076.0
2003-08-01,22324542.0
2003-09-01,22665472.0
2003-10-01,23226236.0
2003-11-01,22963101.0
2003-12-01,23244941.0
2004-01-01,23450738.0
2004-02-01,23474067.0
2004-03-01,23755819.0
2004-04-01,23827439.0
2004-05-01,23924001.0
2004-06-01,24107448.0
2004-07-01,24347959.0
2004-08-01,24550102.0
2004-09-01,24857053.0
2004-10-01,26168289.0
2004-11-01,25077090.0
2004-12-01,25411716.0
2005-01-01,25357492.0
2005-02-01,25184374.0
2005-03-01,25348952.0
2005-04-01,25271312.0
2005-05-01,25314262.0
2005-06-01,25437443.0
2005-07-01,25467685.0
2005-08-01,25661624.0
2005-09-01,27841234.0
2005-10-01,27793263.0
2005-11-01,29735319.0
2005-12-01,26716394.0
2006-01-01,26393587.0
