Fiscal Year,State_Abbr,FIPS,State/Territory,Payment,PaymentType,Source_Document
2003-01-01T05:00Z,AL,01,Alabama,6.87,OverPayment,
2003-01-01T05:00Z,AL,01,Alabama,-1.14,UnderPayment,
2004-01-01T05:00Z,AL,01,Alabama,7.02,OverPayment,
2004-01-01T05:00Z,AL,01,Alabama,-0.98,UnderPayment,
2005-01-01T05:00Z,AL,01,Alabama,3.25,OverPayment,
2005-01-01T05:00Z,AL,01,Alabama,-0.43,UnderPayment,
2006-01-01T05:00Z,AL,01,Alabama,3.05,OverPayment,
2006-01-01T05:00Z,AL,01,Alabama,-0.75,UnderPayment,
2007-01-01T05:00Z,AL,01,Alabama,3.75,OverPayment,
2007-01-01T05:00Z,AL,01,Alabama,-1.03,UnderPayment,
2008-01-01T05:00Z,AL,01,Alabama,3.27,OverPayment,
2008-01-01T05:00Z,AL,01,Alabama,-0.96,UnderPayment,
2009-01-01T05:00Z,AL,01,Alabama,3.03,OverPayment,
2009-01-01T05:00Z,AL,01,Alabama,-0.54,UnderPayment,
2010-01-01T05:00Z,AL,01,Alabama,3.31,OverPayment,
2010-01-01T05:00Z,AL,01,Alabama,-0.44,UnderPayment,
2011-01-01T05:00Z,AL,01,Alabama,4.18,OverPayment,
2011-01-01T05:00Z,AL,01,Alabama,-0.91,UnderPayment,
2012-01-01T05:00Z,AL,01,Alabama,1.62,OverPayment,
2012-01-01T05:00Z,AL,01,Alabama,-0.23,UnderPayment,
2013-01-01T05:00Z,AL,01,Alabama,1.43,OverPayment,
2013-01-01T05:00Z,AL,01,Alabama,-0.27,UnderPayment,
2014-01-01T05:00Z,AL,01,Alabama,1.26,OverPayment,
2014-01-01T05:00Z,AL,01,Alabama,-0.77,UnderPayment,
2016-01-01T05:00Z,,,Alabama,NaN,OverPayment,
2016-01-01T05:00Z,,,Alabama,NaN,UnderPayment,
2017-01-01T05:00Z,AL,01,Alabama,3.15,OverPayment,
2017-01-01T05:00Z,AL,01,Alabama,-1.04,UnderPayment,
2018-01-01T05:00Z,AL,01,Alabama,3.93,OverPayment,
2018-01-01T05:00Z,AL,01,Alabama,-0.66,UnderPayment,
2019-01-01T05:00Z,AL,01,Alabama,6.87,OverPayment,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2019-01-01T05:00Z,AL,01,Alabama,-0.42,UnderPayment,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2020-01-01T05:00Z,,,Alabama,NaN,OverPayment,
2020-01-01T05:00Z,,,Alabama,NaN,UnderPayment,
2021-01-01T05:00Z,,,Alabama,NaN,OverPayment,
2021-01-01T05:00Z,,,Alabama,NaN,UnderPayment,
2022-01-01T05:00Z,AL,01,Alabama,3.96,OverPayment,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2022-01-01T05:00Z,AL,01,Alabama,-0.72,UnderPayment,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023-01-01T05:00Z,AL,01,Alabama,5.44,OverPayment,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2023-01-01T05:00Z,AL,01,Alabama,-1.64,UnderPayment,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003-01-01T05:00Z,AK,02,Alaska,10.84,OverPayment,
2003-01-01T05:00Z,AK,02,Alaska,-3.04,UnderPayment,
2004-01-01T05:00Z,AK,02,Alaska,4.98,OverPayment,
2004-01-01T05:00Z,AK,02,Alaska,-1.98,UnderPayment,
2005-01-01T05:00Z,AK,02,Alaska,5.64,OverPayment,
2005-01-01T05:00Z,AK,02,Alaska,-0.87,UnderPayment,
2006-01-01T05:00Z,AK,02,Alaska,5.25,OverPayment,
2006-01-01T05:00Z,AK,02,Alaska,-0.56,UnderPayment,
2007-01-01T05:00Z,AK,02,Alaska,2.86,OverPayment,
2007-01-01T05:00Z,AK,02,Alaska,-1.19,UnderPayment,
2008-01-01T05:00Z,AK,02,Alaska,4.97,OverPayment,
2008-01-01T05:00Z,AK,02,Alaska,-2.51,UnderPayment,
2009-01-01T05:00Z,AK,02,Alaska,2.29,OverPayment,
2009-01-01T05:00Z,AK,02,Alaska,-1.52,UnderPayment,
2010-01-01T05:00Z,AK,02,Alaska,2,OverPayment,
2010-01-01T05:00Z,AK,02,Alaska,-0.14,UnderPayment,
2011-01-01T05:00Z,AK,02,Alaska,0.53,OverPayment,
2011-01-01T05:00Z,AK,02,Alaska,-0.24,UnderPayment,
2012-01-01T05:00Z,AK,02,Alaska,0.85,OverPayment,
2012-01-01T05:00Z,AK,02,Alaska,-0.21,UnderPayment,
2013-01-01T05:00Z,AK,02,Alaska,1.21,OverPayment,
2013-01-01T05:00Z,AK,02,Alaska,-0.06,UnderPayment,
2014-01-01T05:00Z,AK,02,Alaska,0.77,OverPayment,
2014-01-01T05:00Z,AK,02,Alaska,-0.13,UnderPayment,
2016-01-01T05:00Z,,,Alaska,NaN,OverPayment,
2016-01-01T05:00Z,,,Alaska,NaN,UnderPayment,
2017-01-01T05:00Z,AK,02,Alaska,5.8,OverPayment,
2017-01-01T05:00Z,AK,02,Alaska,-1.47,UnderPayment,
2018-01-01T05:00Z,AK,02,Alaska,4.66,OverPayment,
2018-01-01T05:00Z,AK,02,Alaska,-1.71,UnderPayment,
