Fiscal Year,State_Abbr,FIPS,State/Territory,Payment,PaymentType,totalErrorRate,Source_Document
2002-12-31T23:00Z,AL,01,Alabama,6.87,OverPayment,8.02,
2002-12-31T23:00Z,AL,01,Alabama,-1.14,UnderPayment,8.02,
2003-12-31T23:00Z,AL,01,Alabama,7.02,OverPayment,8,
2003-12-31T23:00Z,AL,01,Alabama,-0.98,UnderPayment,8,
2004-12-31T23:00Z,AL,01,Alabama,3.25,OverPayment,3.68,
2004-12-31T23:00Z,AL,01,Alabama,-0.43,UnderPayment,3.68,
2005-12-31T23:00Z,AL,01,Alabama,3.05,OverPayment,3.8,
2005-12-31T23:00Z,AL,01,Alabama,-0.75,UnderPayment,3.8,
2006-12-31T23:00Z,AL,01,Alabama,3.75,OverPayment,4.78,
2006-12-31T23:00Z,AL,01,Alabama,-1.03,UnderPayment,4.78,
2007-12-31T23:00Z,AL,01,Alabama,3.27,OverPayment,4.23,
2007-12-31T23:00Z,AL,01,Alabama,-0.96,UnderPayment,4.23,
2008-12-31T23:00Z,AL,01,Alabama,3.03,OverPayment,3.57,
2008-12-31T23:00Z,AL,01,Alabama,-0.54,UnderPayment,3.57,
2009-12-31T23:00Z,AL,01,Alabama,3.31,OverPayment,3.75,
2009-12-31T23:00Z,AL,01,Alabama,-0.44,UnderPayment,3.75,
2010-12-31T23:00Z,AL,01,Alabama,4.18,OverPayment,5.1,
2010-12-31T23:00Z,AL,01,Alabama,-0.91,UnderPayment,5.1,
2011-12-31T23:00Z,AL,01,Alabama,1.62,OverPayment,1.85,
2011-12-31T23:00Z,AL,01,Alabama,-0.23,UnderPayment,1.85,
2012-12-31T23:00Z,AL,01,Alabama,1.43,OverPayment,1.7,
2012-12-31T23:00Z,AL,01,Alabama,-0.27,UnderPayment,1.7,
2013-12-31T23:00Z,AL,01,Alabama,1.26,OverPayment,2.03,
2013-12-31T23:00Z,AL,01,Alabama,-0.77,UnderPayment,2.03,
2015-12-31T23:00Z,,,Alabama,NaN,OverPayment,NaN,
2015-12-31T23:00Z,,,Alabama,NaN,UnderPayment,NaN,
2016-12-31T23:00Z,AL,01,Alabama,3.15,OverPayment,4.19,
2016-12-31T23:00Z,AL,01,Alabama,-1.04,UnderPayment,4.19,
2017-12-31T23:00Z,AL,01,Alabama,3.93,OverPayment,4.59,
2017-12-31T23:00Z,AL,01,Alabama,-0.66,UnderPayment,4.59,
2018-12-31T23:00Z,AL,01,Alabama,6.87,OverPayment,7.29,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
