Fiscal year,Average monthly participation (Millions of people),Inflation-adjusted annual spending (Billions of 2023 dollars)
2000,17.2,27.807
2001,17.3,28.436
2002,19.1,32.561
2003,21.2,36.803
2004,23.8,40.862
2005,25.6,45.541
2006,26.5,46.904
2007,26.3,46.106
2008,28.2,50.810
2009,33.5,72.584
2010,40.3,90.807
2011,44.7,98.168
2012,46.6,99.841
2013,47.6,100.361
2014,46.7,91.789
2015,45.8,91.481
2016,44.2,86.847
2017,42.2,82.062
2018,40.8,77.200
2019,38.0,70.219
2020,39.9,91.068
2021,41.6,124.976
2022,41.2,124.030
2023,42.1,112.841
2024,41.0,104.530
2025,40.4,103.948
2026,39.8,103.951
2027,39.1,106.687
2028,38.6,107.472
2029,38.1,108.378
2030,37.5,109.157
2031,37.1,110.528
2032,36.6,114.675
2033,36.3,116.516
2034,35.9,118.084
