State,state_abbr,SNAP participation rate 2023,region
Utah,UT,4.6,West
Wyoming,WY,5.1,West
New Hampshire,NH,5.3,Northeast
North Dakota,ND,5.8,Midwest
Idaho,ID,6.3,West
Kansas,KS,6.4,Midwest
Alaska,AK,7.4,West
Montana,MT,7.5,West
South Dakota,SD,7.8,Midwest
Nebraska,NE,7.9,Midwest
Minnesota,MN,8,Midwest
Arkansas,AR,8.1,South
Iowa,IA,8.2,Midwest
New Jersey,NJ,8.3,Northeast
Indiana,IN,8.7,Midwest
Colorado,CO,9.6,West
Virginia,VA,9.7,South
Hawaii,HI,10.5,West
Tennessee,TN,10.6,South
Missouri,MO,10.7,Midwest
Connecticut,CT,10.9,Northeast
Maryland,MD,10.9,South
Vermont,VT,10.9,Northeast
Texas,TX,11.1,South
South Carolina,SC,11.5,South
Washington,WA,11.5,West
Delaware,DE,11.7,South
Maine,ME,12,Northeast
Ohio,OH,12,Midwest
Wisconsin,WI,12,Midwest
Arizona,AZ,12.1,West
Kentucky,KY,12.2,South
Rhode Island,RI,13,Northeast
California,CA,13.4,West
Mississippi,MS,13.6,South
Florida,FL,13.7,South
Georgia,GA,13.9,South
Michigan,MI,14.2,Midwest
New York,NY,14.7,Northeast
North Carolina,NC,14.7,South
Pennsylvania,PA,14.9,Northeast
Alabama,AL,15.2,South
Nevada,NV,15.4,West
Massachusetts,MA,15.5,Northeast
Illinois,IL,16.2,Midwest
Oklahoma,OK,16.8,South
Oregon,OR,17.3,West
West Virginia,WV,17.4,South
Louisiana,LA,19.6,South
District of Columbia,DC,20.4,South
New Mexico,NM,23.1,West
